===== OD_Box_A =====
Experiment ID        01
Flask Size(ml)       S 100 
Shake Stroke(mm)     25
Shake Speed(r/min)   250
Interval(min)        001
Auto Recording       To PC           
Correct : 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 1.00, 
Alarm OD: 2.55, 2.55, 2.55, 2.55, 2.55, 2.55, 2.55, 2.55, 

Date hh:mm:ss, Hour:Min,OD_01, OD_02, OD_03, OD_04, OD_05, OD_06, OD_07, OD_08, 

2020/11/10 17:22:35, 0000:00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:23:35, 0000:01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:24:35, 0000:02, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:25:35, 0000:03, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:26:35, 0000:04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:27:35, 0000:05, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:28:35, 0000:06, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:29:35, 0000:07, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:30:35, 0000:08, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:31:34, 0000:09, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:32:34, 0000:10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:33:34, 0000:11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:34:34, 0000:12, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:35:34, 0000:13, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:36:34, 0000:14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:37:34, 0000:15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:38:34, 0000:16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:39:34, 0000:17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:40:34, 0000:18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:41:34, 0000:19, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:42:34, 0000:20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:43:34, 0000:21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:44:34, 0000:22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:45:34, 0000:23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:46:34, 0000:24, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:47:34, 0000:25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
2020/11/10 17:48:34, 0000:26, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 
